nreqs,ctxlen,prefixlen,relay,Memory (GB),Lantency (us),KV mem (GB),Prefix KV mem (GB),cache_op,attn_usr,attn_sys,relay_fusion,others
8,256,128,true,0.081788928,65.19722752273083,0.054526048,0.003407968,15,33,12,3,2.1972275227308273
32,256,4096,true,0.354418688,240.18466472625732,0.218103904,0.109052,17,123,80,4,16.184664726257324
1,256,16384,true,0.463470592,313.00765462219715,0.00681584,0.436207712,12,15,242,2,42.00765462219715
1,128,16384,false,0.446693376,269.4581029936671,0.439615584,0.0,14,227,0,0,28.458102993667126
1,128,16384,true,0.463470592,308.83349012583494,0.003407968,0.436207712,14,11,244,2,37.83349012583494
128,128,256,true,0.484442112,337.2028097510338,0.436207712,0.00681584,49,241,19,9,19.202809751033783
128,256,256,true,0.920649728,587.7620447427034,0.872415328,0.00681584,52,496,19,9,11.762044742703438
1,128,256,true,0.027262976,43.05108916014433,0.003407968,0.00681584,11,9,10,2,11.051089160144329
1,128,4096,false,0.119537664,80.8575190603733,0.112459872,0.0,13,59,0,0,8.857519060373306
128,256,64,true,0.920649728,575.6177799776196,0.872415328,0.001704032,53,497,11,9,5.617779977619648
16,128,256,true,0.081788928,74.74108599126339,0.054526048,0.00681584,16,35,12,3,8.74108599126339
64,256,4096,true,0.5767168,375.6406903266907,0.436207712,0.109052,23,241,82,5,24.640690326690674
128,128,4096,true,0.593494016,502.74823326617485,0.436207712,0.109052,43,242,193,9,15.74823326617485
128,256,16384,true,1.356857344,1299.3577029556036,0.872415328,0.436207712,41,499,745,9,5.3577029556035995
8,128,256,false,0.090177536,63.73411044478416,0.081789024,0.0,16,45,0,0,2.7341104447841573
32,256,512,false,0.66060288,390.9786883741617,0.65431152,0.0,17,358,0,0,15.97868837416172
64,128,1024,false,1.97132288,1137.196896597743,1.962934368,0.0,24,1103,0,0,10.196896597743034
128,128,1024,false,3.97410304,2275.0408947467804,3.92586864,0.0,52,2206,0,0,17.040894746780396
1,128,8192,false,0.228589568,144.84828338027,0.221511776,0.0,14,116,0,0,14.848283380270004
4,128,2048,true,0.081788928,90.5736442655325,0.013631584,0.054526048,14,14,44,2,16.573644265532494
64,128,64,true,0.23068672,176.85480415821075,0.218103904,0.001704032,23,130,10,6,7.854804158210754
16,128,64,false,0.090177536,70.92101499438286,0.081789024,0.0,16,52,0,0,2.9210149943828583
64,128,8192,true,0.467664896,320.4677486792207,0.218103904,0.218103904,24,127,139,5,25.467748679220676
32,256,16384,true,0.6815744,440.0209430605173,0.218103904,0.436207712,18,132,255,4,31.02094306051731
64,128,16384,false,28.173139968,16046.926928684115,28.135391328,0.0,34,15996,0,0,16.92692868411541
128,128,16384,true,0.920649728,1083.456459455192,0.436207712,0.436207712,43,242,746,9,43.45645945519209
4,128,16384,false,1.788870656,1033.0659803003073,1.758462048,0.0,15,1001,0,0,17.065980300307274
64,128,128,false,0.444596224,283.9204762130976,0.436207712,0.0,23,239,0,0,21.920476213097572
32,256,64,true,0.226492416,171.02530226111412,0.218103904,0.001704032,17,128,10,4,12.02530226111412
1,256,128,true,0.027262976,45.98767962306738,0.00681584,0.003407968,11,11,12,2,9.987679623067379
16,256,512,true,0.13631488,111.64615862071514,0.109052,0.013631584,17,67,16,3,8.646158620715141
16,128,1024,false,0.497025024,290.4191333800554,0.490733664,0.0,16,251,0,0,23.419133380055428
1,128,64,true,0.027262976,39.249202236533165,0.003407968,0.001704032,12,9,9,2,7.249202236533165
64,128,256,false,0.662700032,406.7846480756998,0.65431152,0.0,22,368,0,0,16.784648075699806
128,128,512,false,2.229272576,1288.929097354412,2.181038176,0.0,49,1229,0,0,10.929097354412079
128,256,1024,true,0.935329792,620.4102281481028,0.872415328,0.027263072,46,497,57,9,11.41022814810276
128,128,128,false,0.920649728,559.0064730495214,0.872415328,0.0,51,499,0,0,9.006473049521446
8,128,64,false,0.048234496,41.13338887691498,0.04089456,0.0,15,21,0,0,5.133388876914978
4,128,16384,true,0.463470592,315.16654416918755,0.013631584,0.436207712,14,13,249,2,37.166544169187546
16,128,2048,false,0.93323264,538.5167291387916,0.92694128,0.0,15,511,0,0,12.516729138791561
128,128,8192,true,0.70254592,677.444888278842,0.436207712,0.218103904,42,242,377,9,7.444888278841972
4,128,2048,false,0.24117248,148.37503898888826,0.231735392,0.0,14,122,0,0,12.375038988888264
16,128,1024,true,0.090177536,89.00340646505356,0.054526048,0.027263072,17,34,27,3,8.003406465053558
32,128,8192,false,7.115636736,4078.1678073108196,7.088373856,0.0,20,4065,0,0,-6.832192689180374
64,256,128,true,0.467664896,302.3238107562065,0.436207712,0.003407968,24,239,13,6,20.323810756206512
4,128,128,true,0.027262976,45.84765061736107,0.013631584,0.003407968,11,10,12,2,10.847650617361069
4,128,256,true,0.027262976,45.87167873978615,0.013631584,0.00681584,12,10,10,2,11.871678739786148
4,256,64,true,0.035651584,46.42476327717304,0.027263072,0.001704032,12,16,10,2,6.424763277173042
128,256,2048,true,0.97517568,667.6740292459726,0.872415328,0.054526048,45,495,101,9,17.674029245972633
1,128,256,false,0.027262976,33.834497444331646,0.010223712,0.0,12,14,0,0,7.834497444331646
4,256,8192,true,0.253755392,188.45234997570515,0.027263072,0.218103904,14,20,132,2,20.452349975705147
32,128,64,true,0.117440512,105.99528439342976,0.109052,0.001704032,17,74,10,4,0.9952843934297562
16,128,16384,false,7.061110784,4045.8167903125286,7.033847904,0.0,16,4034,0,0,-4.18320968747139
32,128,256,false,0.333447168,213.40960171073675,0.327155808,0.0,17,179,0,0,17.40960171073675
32,256,2048,true,0.299892736,202.37448159605265,0.218103904,0.054526048,17,118,51,4,12.374481596052647
128,128,512,true,0.484442112,348.6511902883649,0.436207712,0.013631584,52,241,32,9,14.651190288364887
1,256,1024,true,0.056623104,61.44750863313674,0.00681584,0.027263072,14,16,24,2,5.447508633136742
64,256,16384,true,0.903872512,572.820701636374,0.436207712,0.436207712,23,269,254,6,20.820701636373997
64,256,256,false,0.88080384,529.1848536580801,0.872415328,0.0,25,494,0,0,10.184853658080101
16,128,512,false,0.278921216,172.46689647436142,0.272629856,0.0,15,145,0,0,12.46689647436142
8,128,256,true,0.04194304,51.766419783234596,0.027263072,0.00681584,14,15,10,3,9.766419783234596
64,256,1024,false,2.189426688,1256.2722619622946,2.181038176,0.0,24,1220,0,0,12.272261962294579
128,256,512,true,0.920649728,598.4848644584417,0.872415328,0.013631584,52,497,32,9,8.484864458441734
4,256,16384,true,0.4718592,322.27881252765656,0.027263072,0.436207712,13,20,248,2,39.278812527656555
32,128,256,true,0.1572864,113.16948104649782,0.109052,0.00681584,17,72,13,4,7.169481046497822
64,256,256,true,0.488636416,312.70075123757124,0.436207712,0.00681584,27,238,16,5,26.70075123757124
32,256,128,false,0.333447168,212.19030022621155,0.327155808,0.0,17,177,0,0,18.190300226211548
4,128,512,true,0.048234496,50.351331010460854,0.013631584,0.013631584,12,12,13,2,11.351331010460854
4,256,256,true,0.04194304,52.83198319375515,0.027263072,0.00681584,13,20,11,3,5.83198319375515
64,256,8192,false,14.41792,8224.62216950953,14.394851424,0.0,31,8176,0,0,17.622169509530067
4,256,64,false,0.044040192,38.112630136311054,0.034078816,0.0,13,20,0,0,5.112630136311054
64,128,1024,true,0.278921216,197.8818280622363,0.218103904,0.027263072,24,123,31,5,14.881828062236309
64,128,512,false,1.098907648,650.4692090675235,1.090519136,0.0,24,609,0,0,17.46920906752348
1,256,4096,true,0.13631488,113.08485642075539,0.00681584,0.109052,14,15,71,2,11.084856420755386
128,256,4096,true,1.029701632,760.8242146670818,0.872415328,0.109052,44,494,192,9,21.824214667081833
128,128,2048,false,7.463763968,4237.3409401625395,7.415529568,0.0,50,4210,0,0,-22.659059837460518
8,256,8192,true,0.278921216,201.7578575760126,0.054526048,0.218103904,15,31,133,3,19.75785757601261
32,256,1024,false,1.096810496,639.259796589613,1.090519136,0.0,18,606,0,0,15.25979658961296
128,128,16384,false,56.375640064,32114.934064447883,56.27078256,0.0,63,32000,0,0,51.93406444788343
32,128,1024,true,0.165675008,128.19585856050253,0.109052,0.027263072,18,69,29,4,8.19585856050253
16,128,2048,true,0.11534336,106.13026097416878,0.054526048,0.054526048,15,33,45,3,10.130260974168777
4,256,2048,true,0.090177536,88.34615349769592,0.027263072,0.054526048,14,21,47,2,4.346153497695923
128,128,2048,true,0.538968064,414.50037620961666,0.436207712,0.054526048,43,241,101,9,20.50037620961666
32,128,16384,false,14.088667136,8055.886011570692,14.067695712,0.0,21,8085,0,0,-50.11398842930794
16,256,1024,true,0.144703488,120.08794583380222,0.109052,0.027263072,17,63,26,3,11.087945833802223
64,256,1024,true,0.497025024,327.96154730021954,0.436207712,0.027263072,24,238,32,6,27.961547300219536
64,128,256,true,0.270532608,190.9229438751936,0.218103904,0.00681584,29,130,16,5,10.922943875193596
4,256,2048,false,0.253755392,159.64658930897713,0.24536688,0.0,15,131,0,0,13.646589308977127
4,128,4096,false,0.459276288,275.68195946514606,0.4498392,0.0,14,235,0,0,26.681959465146065
1,128,512,true,0.027262976,47.07336891442537,0.003407968,0.013631584,11,9,13,2,12.073368914425373
16,128,128,true,0.081788928,69.45496890693903,0.054526048,0.003407968,15,34,13,3,4.45496890693903
64,256,512,true,0.488636416,315.6118281185627,0.436207712,0.013631584,26,235,19,6,29.6118281185627
16,256,256,true,0.13631488,106.20195418596268,0.109052,0.00681584,15,65,12,3,11.201954185962677
32,256,16384,false,14.19771904,8105.337852612138,14.176747616,0.0,17,8072,0,0,16.337852612137794
1,256,64,true,0.027262976,43.18517632782459,0.00681584,0.001704032,12,11,9,2,9.185176327824593
8,256,512,true,0.081788928,76.29337720572948,0.054526048,0.013631584,14,34,16,3,9.293377205729485
32,128,2048,false,1.860173824,1071.0430005565286,1.853882464,0.0,19,1043,0,0,9.043000556528568
128,128,128,true,0.484442112,334.57168843597174,0.436207712,0.003407968,53,243,14,9,15.571688435971737
8,256,16384,true,0.497025024,333.08963291347027,0.054526048,0.436207712,14,30,244,3,42.08963291347027
8,256,2048,true,0.11534336,102.29469276964664,0.054526048,0.054526048,15,31,45,3,8.294692769646645
16,256,64,true,0.117440512,100.00202804803848,0.109052,0.001704032,15,66,10,3,6.002028048038483
64,128,8192,false,14.199816192,8109.351163730025,14.176747616,0.0,35,8124,0,0,-49.64883626997471
128,256,8192,false,28.86729728,16427.106782794,28.789702752,0.0,61,16349,0,0,17.10678279399872
8,128,16384,false,3.546284032,2045.9674298763273,3.516924,0.0,15,2013,0,0,17.967429876327287
1,128,128,true,0.027262976,43.48825663328171,0.003407968,0.003407968,11,8,12,2,10.488256633281708
8,128,8192,true,0.253755392,188.5850355029106,0.027263072,0.218103904,15,18,131,2,22.585035502910614
1,128,128,false,0.027262976,32.13362768292427,0.00681584,0.0,12,11,0,0,9.13362768292427
64,128,2048,true,0.30408704,220.99210880696774,0.218103904,0.054526048,22,127,53,5,13.992108806967735
16,256,4096,true,0.224395264,169.5971516892314,0.109052,0.109052,16,62,74,3,14.597151689231396
128,256,512,false,2.665480192,1537.5349903479218,2.617245792,0.0,49,1476,0,0,12.534990347921848
8,256,512,false,0.169869312,114.92926627397537,0.163577952,0.0,15,89,0,0,10.929266273975372
4,256,4096,false,0.4718592,283.4631269797683,0.463470688,0.0,14,243,0,0,26.463126979768276
128,256,8192,true,1.138753536,936.4182408899069,0.872415328,0.218103904,44,493,376,9,14.418240889906883
16,256,1024,false,0.551550976,324.04886092990637,0.545259616,0.0,15,291,0,0,18.04886092990637
128,128,256,false,1.356857344,802.1627319976687,1.308622944,0.0,49,739,0,0,14.162731997668743
128,128,4096,false,14.443085824,8130.693435668945,14.394851424,0.0,52,8116,0,0,-37.30656433105469
1,128,1024,false,0.039845888,45.60218192636967,0.030670944,0.0,14,23,0,0,8.602181926369667
4,128,1024,false,0.132120576,89.36445228755474,0.122683488,0.0,14,66,0,0,9.364452287554741
16,128,16384,true,0.497025024,340.9095015376806,0.054526048,0.436207712,15,34,248,3,40.909501537680626
32,256,512,true,0.266338304,180.27511425316334,0.218103904,0.013631584,18,124,17,4,17.275114253163338
8,128,128,false,0.060817408,48.35578612983227,0.054526048,0.0,15,29,0,0,4.355786129832268
8,128,16384,true,0.4718592,321.20770774781704,0.027263072,0.436207712,14,17,244,2,44.20770774781704
4,256,128,false,0.048234496,42.56340675055981,0.04089456,0.0,13,25,0,0,4.563406750559807
1,256,8192,true,0.245366784,178.71377989649773,0.00681584,0.218103904,13,13,130,2,20.713779896497726
32,256,256,false,0.442499072,269.545572809875,0.436207712,0.0,17,233,0,0,19.54557280987501
1,256,8192,false,0.232783872,148.68960715830326,0.224919648,0.0,15,118,0,0,15.68960715830326
32,128,128,true,0.13631488,107.26962238550186,0.109052,0.003407968,16,70,13,4,4.269622385501862
32,128,4096,true,0.245366784,175.96074379980564,0.109052,0.109052,17,66,79,4,9.960743799805641
1,256,256,false,0.027262976,36.59550100564957,0.013631584,0.0,12,17,0,0,7.595501005649567
